module_code,academic_year,dept_slug,dept_name,stage,credits_raw,term_raw,module_title,credits,num_students_anticipated,scheduled_hours,independent_hours,placement_hours,coursework_pct,written_exam_pct,practical_exam_pct,n_summative_items,nqf_level,distance_learning,origin_date,last_revision_date,fetch_ok,dept_code,level_char,level,faculty,total_hours,contact_ratio,assessment_diversity,assess_was_renormalised
ECM1102,2019/0,engineering,Engineering,,30.0,1,Core Engineering 1,30.0,195.0,130.0,170.0,0.0,24.0,70.0,6.0,7.0,4.0,No,,,True,ECM,1,UG Year 1,ESE,300.0,0.43333333333333335,3.0,False
ECM1106,2019/0,engineering,Engineering,,15.0,2,Electronics for Engineers: Core Engineering 2,15.0,206.0,34.0,116.0,0.0,10.0,60.0,30.0,3.0,1.0,No,,,True,ECM,1,UG Year 1,ESE,150.0,0.22666666666666666,3.0,False
ECM1107,2019/0,engineering,Engineering,,15.0,2,Materials and Manufacturing: Core Engineering 2,15.0,171.0,28.0,122.0,0.0,30.0,70.0,0.0,3.0,1.0,No,,,True,ECM,1,UG Year 1,ESE,150.0,0.18666666666666668,2.0,False
ECM1108,2019/0,engineering,Engineering,,15.0,2,Engineering Mechanics: Core Engineering 2,15.0,173.0,40.0,110.0,0.0,30.0,70.0,0.0,5.0,1.0,No,,,True,ECM,1,UG Year 1,ESE,150.0,0.26666666666666666,2.0,False
ECM1110,2019/0,engineering,Engineering,,30.0,1 and 2,Engineering Mathematics,30.0,195.0,100.0,200.0,0.0,20.0,80.0,0.0,3.0,4.0,No,,,True,ECM,1,UG Year 1,ESE,300.0,0.3333333333333333,2.0,False
ECM1111,2019/0,engineering,Engineering,,15.0,1 and 2,Entrepreneurship Skills Development 1,15.0,225.0,45.0,105.0,0.0,100.0,0.0,0.0,9.0,4.0,No,,,True,ECM,1,UG Year 1,ESE,150.0,0.3,1.0,False
ECM2102,2019/0,engineering,Engineering,,15.0,1,Management and Management Science,15.0,175.0,34.0,116.0,0.0,40.0,60.0,0.0,3.0,5.0,No,,,True,ECM,2,UG Year 2,ESE,150.0,0.22666666666666666,2.0,False
ECM2103,2019/0,engineering,Engineering,,15.0,2,Introduction to Mechanical Engineering Design,15.0,114.0,34.0,116.0,0.0,100.0,0.0,0.0,3.0,5.0,No,,,True,ECM,2,UG Year 2,ESE,150.0,0.22666666666666666,1.0,False
ECM2105,2019/0,engineering,Engineering,,15.0,2,Control Engineering,15.0,182.0,44.0,106.0,0.0,30.0,70.0,0.0,4.0,2.0,No,,,True,ECM,2,UG Year 2,ESE,150.0,0.29333333333333333,2.0,False
ECM2106,2019/0,engineering,Engineering,,15.0,2,Manufacturing Systems,15.0,17.0,22.0,138.0,0.0,30.0,70.0,0.0,3.0,5.0,No,,,True,ECM,2,UG Year 2,ESE,160.0,0.1375,2.0,False
ECM2108,2019/0,engineering,Engineering,,15.0,2,Construction Methods and Materials,15.0,46.0,45.0,105.0,0.0,100.0,0.0,0.0,5.0,2.0,No,,,True,ECM,2,UG Year 2,ESE,150.0,0.3,1.0,False
ECM2109,2019/0,engineering,Engineering,,15.0,2,Structures,15.0,145.0,45.0,105.0,0.0,15.0,85.0,0.0,2.0,2.0,No,,,True,ECM,2,UG Year 2,ESE,150.0,0.3,2.0,False
ECM2110,2019/0,engineering,Engineering,,15.0,2,Geotechnics 1,15.0,49.0,66.0,84.0,,50.0,50.0,0.0,2.0,2.0,No,,,True,ECM,2,UG Year 2,ESE,150.0,0.44,2.0,False
ECM2111,2019/0,engineering,Engineering,,15.0,1,Mathematical Modelling of Engineering Systems,15.0,226.0,81.0,69.0,0.0,15.0,85.0,0.0,2.0,5.0,No,,,True,ECM,2,UG Year 2,ESE,150.0,0.54,2.0,False
ECM2112,2019/0,engineering,Engineering,,15.0,1,Professional Studies and Skills Development 2,15.0,190.0,55.0,95.0,0.0,100.0,0.0,0.0,5.0,5.0,No,,,True,ECM,2,UG Year 2,ESE,150.0,0.36666666666666664,1.0,False
ECM2113,2019/0,engineering,Engineering,,15.0,1,Thermofluid Engineering,15.0,213.0,46.0,104.0,,40.0,60.0,0.0,3.0,2.0,No,,,True,ECM,2,UG Year 2,ESE,150.0,0.30666666666666664,2.0,False
ECM2114,2019/0,engineering,Engineering,,15.0,1,Solid Mechanics,15.0,209.0,36.0,114.0,0.0,30.0,70.0,0.0,2.0,2.0,No,,,True,ECM,2,UG Year 2,ESE,150.0,0.24,2.0,False
ECM2115,2019/0,engineering,Engineering,,15.0,2,"PICS, Microcontrollers and Microprocessors",15.0,33.0,51.0,99.0,0.0,40.0,60.0,0.0,4.0,5.0,No,,,True,ECM,2,UG Year 2,ESE,150.0,0.34,2.0,False
ECM2117,2019/0,engineering,Engineering,,15.0,2,Communication and Networking Technologies,15.0,20.0,30.0,120.0,0.0,40.0,60.0,0.0,4.0,2.0,No,,,True,ECM,2,UG Year 2,ESE,150.0,0.2,2.0,False
ECM2118,2019/0,engineering,Engineering,,15.0,1,Analogue and Digital Electronics Design,15.0,36.0,49.0,101.0,0.0,40.0,60.0,0.0,5.0,5.0,No,,,True,ECM,2,UG Year 2,ESE,150.0,0.32666666666666666,2.0,False
ECM2119,2019/0,engineering,Engineering,,15.0,1,Mathematical Modelling and Control Engineering,15.0,15.0,57.0,93.0,0.0,15.0,85.0,0.0,2.0,2.0,No,,,True,ECM,2,UG Year 2,ESE,150.0,0.38,2.0,False
ECM2120,2019/0,engineering,Engineering,,15.0,2,Materials Engineering,15.0,7.0,28.0,122.0,0.0,30.0,70.0,0.0,3.0,2.0,No,,,True,ECM,2,UG Year 2,ESE,150.0,0.18666666666666668,2.0,False
ECM2121,2019/0,engineering,Engineering,,15.0,1,Entrepreneurship 2,15.0,50.0,55.0,95.0,0.0,100.0,0.0,0.0,8.0,5.0,No,,,True,ECM,2,UG Year 2,ESE,150.0,0.36666666666666664,1.0,False
ECM3130,2019/0,engineering,Engineering,,15.0,2,Engineering in Society and Company Finance,15.0,183.0,78.0,72.0,0.0,30.0,70.0,0.0,2.0,3.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.52,2.0,False
ECM3149,2019/0,engineering,Engineering,,45.0,"1, 2 and 3",Commercial and Industrial Experience and Individual Project (BEng/MEng),45.0,7.0,27.0,123.0,300.0,100.0,0.0,0.0,,6.0,No,,,True,ECM,3,UG Year 3,ESE,450.0,0.06,1.0,False
